iter	Passed	Remaining
0	136	136836
1	138	69032
2	139	46356
3	140	35032
4	142	28378
5	143	23790
6	144	20514
7	145	18061
8	146	16153
9	147	14630
10	148	13376
11	151	12463
12	155	11839
13	157	11100
14	158	10422
15	159	9814
16	160	9282
17	161	8802
18	162	8370
19	162	7979
20	163	7642
21	168	7470
22	169	7189
23	170	6923
24	171	6678
25	172	6447
26	172	6231
27	173	6038
28	174	5852
29	177	5732
30	179	5601
31	180	5456
32	181	5313
33	182	5177
34	183	5045
35	183	4922
36	184	4803
37	185	4690
38	186	4591
39	187	4489
40	187	4391
41	190	4336
42	192	4278
43	195	4239
44	196	4164
45	196	4085
46	197	4008
47	198	3936
48	199	3873
49	200	3809
50	201	3743
51	201	3679
52	204	3651
53	206	3620
54	209	3594
55	210	3543
56	210	3490
57	211	3437
58	212	3387
59	213	3340
60	214	3298
61	214	3252
62	215	3206
63	216	3161
64	218	3140
65	220	3115
66	223	3107
67	224	3075
68	225	3038
69	225	3001
70	227	2981
71	228	2948
72	229	2914
73	230	2881
74	231	2853
75	237	2891
76	239	2866
77	241	2852
78	242	2829
79	254	2921
80	255	2895
81	256	2870
82	257	2839
83	258	2818
84	266	2873
85	268	2857
86	270	2836
87	272	2823
88	274	2806
89	279	2822
90	283	2828
91	284	2806
92	285	2788
93	287	2770
94	296	2825
95	298	2815
96	300	2793
97	302	2781
98	313	2856
99	315	2837
100	316	2821
101	319	2812
102	327	2853
103	331	2852
104	334	2853
105	336	2838
106	344	2874
107	346	2858
108	347	2838
109	351	2841
110	365	2926
111	368	2919
112	372	2923
113	376	2927
114	378	2909
115	379	2889
116	380	2872
117	382	2862
118	392	2906
119	394	2891
120	395	2874
121	402	2896
122	404	2884
123	407	2876
124	408	2858
125	409	2840
126	410	2825
127	413	2813
128	420	2837
129	423	2833
130	426	2831
131	431	2840
132	434	2833
133	439	2839
134	440	2822
135	442	2808
136	453	2859
137	455	2845
138	457	2834
139	465	2857
140	467	2845
141	467	2826
142	469	2811
143	470	2796
144	472	2784
145	473	2768
146	482	2797
147	483	2783
148	484	2769
149	487	2760
150	495	2785
151	498	2779
152	499	2764
153	500	2750
154	512	2795
155	514	2782
156	515	2768
157	516	2753
158	518	2739
159	522	2743
160	523	2730
161	526	2721
162	527	2709
163	529	2697
164	530	2684
165	531	2671
166	542	2706
167	544	2697
168	545	2684
169	547	2671
170	548	2661
171	556	2681
172	558	2669
173	559	2656
174	561	2646
175	562	2635
176	563	2622
177	573	2646
178	574	2635
179	575	2623
180	579	2622
181	585	2629
182	589	2631
183	591	2623
184	592	2610
185	593	2597
186	594	2585
187	595	2572
188	599	2571
189	600	2560
190	602	2552
191	603	2541
192	604	2529
193	605	2516
194	606	2502
195	607	2490
196	608	2479
197	609	2467
198	610	2457
199	612	2451
200	614	2443
201	617	2438
202	618	2428
203	619	2416
204	620	2404
205	621	2395
206	622	2384
207	623	2373
208	623	2360
209	624	2348
210	625	2337
211	625	2325
212	626	2313
213	628	2307
214	629	2298
215	630	2289
216	631	2279
217	632	2268
218	633	2257
219	634	2250
220	635	2240
221	636	2230
222	637	2219
223	637	2209
224	638	2198
225	639	2189
226	640	2179
227	640	2169
228	643	2166
229	645	2160
230	647	2154
231	648	2145
232	648	2136
233	649	2126
234	650	2116
235	651	2108
236	651	2098
237	652	2088
238	653	2079
239	653	2069
240	654	2060
241	654	2050
242	656	2045
243	658	2039
244	661	2038
245	662	2031
246	663	2022
247	664	2014
248	664	2005
249	665	1997
250	666	1989
251	667	1980
252	667	1972
253	668	1963
254	669	1954
255	669	1946
256	670	1937
257	672	1934
258	673	1927
259	675	1921
260	676	1914
261	676	1906
262	677	1898
263	678	1890
264	678	1883
265	679	1875
266	680	1867
267	680	1859
268	681	1851
269	681	1843
270	682	1835
271	685	1834
272	688	1834
273	690	1829
274	691	1822
275	692	1815
276	693	1809
277	693	1801
278	694	1794
279	695	1787
280	695	1780
281	696	1772
282	696	1765
283	697	1758
284	699	1755
285	703	1756
286	704	1750
287	705	1743
288	706	1737
289	706	1730
290	707	1724
291	708	1717
292	708	1710
293	709	1703
294	710	1697
295	710	1690
296	711	1683
297	711	1677
298	712	1670
299	715	1669
300	716	1665
301	718	1660
302	719	1654
303	720	1648
304	720	1642
305	721	1636
306	722	1630
307	722	1623
308	723	1617
309	723	1611
310	724	1605
311	725	1599
312	725	1592
313	726	1587
314	727	1580
315	730	1580
316	731	1576
317	733	1572
318	733	1566
319	734	1560
320	734	1554
321	735	1548
322	736	1543
323	736	1537
324	737	1531
325	737	1525
326	738	1520
327	739	1514
328	739	1508
329	740	1503
330	740	1497
331	741	1492
332	743	1489
333	744	1485
334	746	1481
335	747	1476
336	748	1471
337	748	1466
338	749	1461
339	750	1457
340	751	1452
341	752	1446
342	752	1441
343	753	1436
344	753	1431
345	754	1426
346	755	1420
347	755	1415
348	757	1412
349	758	1408
350	760	1405
351	760	1400
352	761	1396
353	762	1391
354	763	1386
355	763	1381
356	764	1376
357	764	1371
358	765	1366
359	766	1362
360	766	1357
361	767	1352
362	768	1347
363	768	1342
364	769	1338
365	769	1333
366	772	1331
367	774	1329
368	775	1326
369	776	1321
370	777	1317
371	777	1313
372	778	1308
373	779	1304
374	780	1300
375	780	1295
376	781	1291
377	782	1287
378	782	1282
379	784	1279
380	784	1274
381	785	1270
382	786	1267
383	787	1263
384	788	1259
385	790	1257
386	791	1253
387	791	1249
388	792	1244
389	793	1240
390	793	1236
391	794	1232
392	795	1227
393	795	1223
394	797	1220
395	797	1216
396	798	1212
397	798	1208
398	799	1204
399	800	1200
400	801	1196
401	802	1193
402	803	1190
403	804	1186
404	805	1183
405	805	1179
406	806	1175
407	806	1170
408	807	1167
409	808	1163
410	808	1159
411	809	1155
412	811	1152
413	812	1149
414	813	1146
415	813	1142
416	814	1139
417	816	1136
418	818	1134
419	818	1130
420	819	1127
421	820	1123
422	820	1119
423	821	1115
424	822	1112
425	822	1108
426	823	1105
427	824	1101
428	825	1098
429	825	1094
430	826	1090
431	826	1087
432	827	1083
433	827	1079
434	828	1076
435	829	1073
436	830	1070
437	832	1067
438	833	1064
439	834	1061
440	835	1058
441	835	1055
442	836	1051
443	837	1048
444	837	1045
445	838	1041
446	839	1038
447	839	1034
448	840	1031
449	841	1028
450	842	1025
451	842	1021
452	843	1018
453	843	1014
454	844	1011
455	845	1008
456	846	1005
457	847	1003
458	848	999
459	849	997
460	850	994
461	850	990
462	851	987
463	852	984
464	854	982
465	854	979
466	855	976
467	856	973
468	856	970
469	857	966
470	858	963
471	858	960
472	859	957
473	861	955
474	863	954
475	864	951
476	866	950
477	867	947
478	869	945
479	871	944
480	872	941
481	874	939
482	876	938
483	878	936
484	881	935
485	882	933
486	883	930
487	884	927
488	887	927
489	888	924
490	888	921
491	891	920
492	896	922
493	897	919
494	898	917
495	901	915
496	902	913
497	902	910
498	903	907
499	904	904
500	906	902
501	909	902
502	911	900
503	912	897
504	912	894
505	913	892
506	914	889
507	915	886
508	916	883
509	918	882
510	927	887
511	928	885
512	930	882
513	931	880
514	931	877
515	932	874
516	933	872
517	934	869
518	941	872
519	942	870
520	943	867
521	946	866
522	947	864
523	948	861
524	957	866
525	959	864
526	960	861
527	963	861
528	966	860
529	968	858
530	969	856
531	970	854
532	972	852
533	974	850
534	975	847
535	977	846
536	979	844
537	982	843
538	986	843
539	988	841
540	992	841
541	993	839
542	995	838
543	996	835
544	999	834
545	1008	838
546	1009	836
547	1011	834
548	1012	832
549	1013	829
550	1015	827
551	1024	831
552	1027	830
553	1028	828
554	1029	825
555	1030	823
556	1031	820
557	1060	840
558	1062	837
559	1063	835
560	1064	832
561	1067	832
562	1070	831
563	1073	829
564	1074	827
565	1075	824
566	1076	822
567	1078	819
568	1079	817
569	1086	819
570	1088	817
571	1091	816
572	1093	814
573	1094	812
574	1095	809
575	1100	809
576	1105	810
577	1107	808
578	1108	805
579	1109	803
580	1113	803
581	1115	801
582	1117	799
583	1119	797
584	1120	794
585	1121	792
586	1124	791
587	1127	789
588	1128	787
589	1129	785
590	1131	783
591	1133	780
592	1134	778
593	1135	776
594	1142	777
595	1144	775
596	1146	773
597	1148	771
598	1151	770
599	1154	769
600	1157	768
601	1159	766
602	1160	764
603	1165	763
604	1166	761
605	1166	758
606	1175	761
607	1179	760
608	1180	758
609	1181	755
610	1182	753
611	1186	752
612	1189	750
613	1190	748
614	1190	745
615	1191	742
616	1192	740
617	1193	737
618	1194	735
619	1195	732
620	1195	729
621	1196	727
622	1196	724
623	1197	721
624	1198	718
625	1199	716
626	1201	714
627	1202	712
628	1203	710
629	1204	707
630	1205	705
